"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"1976","7","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","150",,,"0",,,,,"Drinking water","Other",
"1976","7","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","18",,,"0",,,,,"Drinking water","Other",
"1976","7","Massachusetts","Water","Unknown",,"Suspected","Camp/cabin","18",,,"0",,,,,"Drinking water","Other",
"1976","7","California","Water","Unknown",,"Suspected","Other","2",,,"0",,,,,"Other/Environmental water",,
"1976","7","Arkansas","Water","Unknown",,"Suspected","Camp/cabin","51",,,"0",,,,,"Drinking water","Other",
"1976","7","Arkansas","Water","Salmonella enterica","Javiana","Confirmed","Mobile home/trailer park","7",,,"0",,,,,"Drinking water","Other",
"1976","8","Alaska","Water","Shigella flexneri",,"Confirmed","Community/municipality","25",,,"0",,,,,"Drinking water","Community",
"1976","8","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","10",,,"0",,,,,"Drinking water","Other",
"1976","10","New Jersey","Water","Unknown",,"Suspected","Restaurant","104",,,"0",,,,,"Drinking water","Other",
"1976","10","Pennsylvania","Water","Unknown",,"Suspected","Private home/residence","24",,,"0",,,,,"Drinking water","Individual/Private",
"1976","11","Connecticut","Water","Legionella pneumophila","serogroup 1","Confirmed","Community/municipality","28","19",,"12",,,,,"Other/Environmental water",,
"1976","11","Florida","Water","Unknown",,"Suspected","Subdivision/Neighborhood","31",,,"0",,,,,"Drinking water","Community",
"1976","11","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","66",,,"0",,,,,"Drinking water","Other",
"1976","12","Colorado","Water","Unknown",,"Suspected","Camp/cabin","110",,,"0",,,,,"Drinking water","Other",
"1977","1","Pennsylvania","Water","Gasoline",,"Confirmed","Private home/residence","10",,,"0",,,,,"Drinking water","Individual/Private",
"1977","1","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","73",,,"0",,,,,"Drinking water","Community",
"1977","1","Pennsylvania","Water","Shigella sonnei",,"Confirmed","Apartment/Condo","17",,,"0",,,,,"Drinking water","Community",
"1977","3","Vermont","Water","Copper",,"Confirmed","Restaurant","74",,,"0",,,,,"Drinking water","Community",
"1977","4","New Hampshire","Water","Giardia duodenalis",,"Confirmed","Community/municipality","750",,,"0",,,,,"Drinking water","Community",
"1977","4","New Jersey","Water","Unknown",,"Suspected","Camp/cabin","10",,,"0",,,,,"Drinking water","Other",
"1977","5","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","30",,,"0",,,,,"Drinking water","Other",
"1977","5","Vermont","Water","Legionella unknown",,"Confirmed","Community/municipality","69","56",,"17",,,,,"Undetermined water",,
"1977","5","Texas","Water","Unknown",,"Suspected","Community/municipality","12",,,"0",,,,,"Drinking water","Community",
